author,commits,insertions,deletions,files_changed,first_commit,last_commit,total_lines
Kuang-che Wu,1,25,25,2,2016-01-10 02:03:34,2016-01-10 02:03:34,50
Kevin Marsh,1,1,1,1,2021-01-06 05:59:01,2021-01-06 05:59:01,2
Jose Tiago Macara Coutinho,1,5,3,1,2019-01-27 08:14:41,2019-01-27 08:14:41,8
JoshKarpel,1,1,1,1,2019-08-09 00:35:26,2019-08-09 00:35:26,2
Jesus Cea,1,21,13,2,2015-12-28 01:24:29,2015-12-28 01:24:29,34
Javi Merino,1,2,2,2,2019-06-19 01:51:41,2019-06-19 01:51:41,4
Jonas Haag,1,59,7,2,2020-03-11 21:28:51,2020-03-11 21:28:51,66
Johannes Hansen,1,25,3,3,2018-08-11 17:14:29,2018-08-11 17:14:29,28
Jannis Leidel,1,1,1,1,2021-06-01 04:45:22,2021-06-01 04:45:22,2
Jan Schlüter,1,9,0,3,2019-11-22 06:38:46,2019-11-22 06:38:46,9
James E. King III,1,70,4,3,2019-12-20 04:03:47,2019-12-20 04:03:47,74
James Lu,1,22,22,1,2016-08-18 01:15:16,2016-08-18 01:15:16,44
Igor Ljubuncic,1,19,0,1,2019-02-12 02:03:31,2019-02-12 02:03:31,19
Helio Machado,1,129,2,5,2022-04-04 08:05:49,2022-04-04 08:05:49,131
James,1,2,2,1,2016-07-23 21:33:14,2016-07-23 21:33:14,4
Ivan Smirnov,1,0,3,1,2022-04-04 05:57:39,2022-04-04 05:57:39,3
Gonzalo Tixilima,1,23,2,2,2021-05-03 07:26:50,2021-05-03 07:26:50,25
Daniel King,1,2,0,1,2020-01-25 01:27:03,2020-01-25 01:27:03,2
Mike Kutzma,1,8,1,2,2019-11-22 07:33:35,2019-11-22 07:33:35,9
Min ho Kim,1,6,6,6,2019-07-12 07:40:44,2019-07-12 07:40:44,12
ReadmeCritic,1,2,2,1,2015-12-24 00:12:50,2015-12-24 00:12:50,4
Rafael Lukas Maers,1,1,1,1,2019-01-07 03:49:33,2019-01-07 03:49:33,2
Peter VandeHaar,1,1,1,1,2016-10-07 18:06:19,2016-10-07 18:06:19,2
Max Nordlund gmail,1,3,5,1,2018-04-30 05:35:17,2018-04-30 05:35:17,8
Max Nordlund,1,1,1,1,2018-04-16 04:47:20,2018-04-16 04:47:20,2
Miro Hrončok,1,8,4,1,2024-08-04 06:16:08,2024-08-04 06:16:08,12
Pavel Savchenko,1,1,1,1,2020-09-07 17:47:26,2020-09-07 17:47:26,2
Ofek Lev,1,2,2,2,2021-06-12 22:33:10,2021-06-12 22:33:10,4
Slava,1,2,2,2,2022-03-27 04:31:11,2022-03-27 04:31:11,4
Shubhankar,1,1,1,1,2022-03-27 04:27:37,2022-03-27 04:27:37,2
Shirish Pokharel,1,2,1,1,2016-01-23 07:12:37,2016-01-23 07:12:37,3
Sepehr Sameni,1,2,1,1,2020-02-13 23:39:59,2020-02-13 23:39:59,3
Robert Krzyzanowski,1,1,1,1,2019-01-07 03:43:12,2019-01-07 03:43:12,2
Todd,1,1,0,1,2018-08-15 04:40:07,2018-08-15 04:40:07,1
Steffan Karger,1,16,22,2,2021-08-15 04:16:54,2021-08-15 04:16:54,38
Thomas A Caswell,1,4,4,4,2019-10-13 05:36:21,2019-10-13 05:36:21,8
Yaroslav Halchenko,1,18,2,1,2016-06-02 22:48:14,2016-06-02 22:48:14,20
arkottke,1,6,1,1,2014-01-12 00:43:20,2014-01-12 00:43:20,7
chengs,1,3,2,1,2019-01-07 03:56:52,2019-01-07 03:56:52,5
darindf,1,1,1,1,2019-01-07 04:11:42,2019-01-07 04:11:42,2
deeenes,1,4,1,1,2017-01-20 10:06:40,2017-01-20 10:06:40,5
Tomas Ostasevicius,1,10,8,1,2016-09-15 09:46:58,2016-09-15 09:46:58,18
Veith Röthlingshöfer,1,17,2,2,2019-01-07 04:28:22,2019-01-07 04:28:22,19
William Turner,1,2,2,1,2019-05-17 03:15:09,2019-05-17 03:15:09,4
gsganden,1,5,1,2,2018-09-11 02:09:25,2018-09-11 02:09:25,6
github-actions[bot],1,186,103,51,2021-01-10 01:00:18,2021-01-10 01:00:18,289
elsonidoq,1,3,1,1,2017-01-20 09:53:32,2017-01-20 09:53:32,4
immerrr,1,32,16,2,2019-05-17 02:54:30,2019-05-17 02:54:30,48
mariosasko,1,8,2,1,2021-08-15 04:36:01,2021-08-15 04:36:01,10
julien,1,7,7,2,2017-11-02 01:17:15,2017-11-02 01:17:15,14
melnikovsky,1,2,0,1,2024-02-06 07:07:45,2024-02-06 07:07:45,2
jamate,1,2,2,1,2024-02-11 01:54:27,2024-02-11 01:54:27,4
raulsaavedr,1,16,0,1,2021-06-20 03:26:44,2021-06-20 03:26:44,16
shongololo,1,4,0,1,2019-06-19 01:59:04,2019-06-19 01:59:04,4
sizmailov,1,1,1,1,2018-07-26 20:54:14,2018-07-26 20:54:14,2
stonebig,1,4,3,2,2015-01-24 21:23:14,2015-01-24 21:23:14,7
toddrme2178,1,11,4,1,2018-05-22 00:32:01,2018-05-22 00:32:01,15
volans-,1,3,3,2,2016-12-16 22:13:27,2016-12-16 22:13:27,6
zed,1,1,1,1,2016-09-15 10:08:42,2016-09-15 10:08:42,2
zz,1,2,2,2,2016-04-08 23:45:01,2016-04-08 23:45:01,4
